17530,# doc = music.2.txt,,,,,,,,,,,,,,,,
17531,# speaker = Ars,,,,,,,,,,,,,,,,
17532,# sent = 1308,,,,,,,,,,,,,,,,
17789,,Это,ЭТО,SPRO n - nom sg,,,"…   _Это_ то , чего",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
17790,,то,ТО,SPRO n - nom sg,,,"  Это _то_ , чего у",о,т,,,,,SPRO,ТО,CONJ,О
17791,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17792,,чего,ЧТО,SPRO n inan gen sg,,,"Это то , _чего_ у нас не",о,г,е,ч,,,SPRO,ЧТО,S n - gen sg,О
17793,,у,У,PR,,,"то , чего _у_ нас не происходило",у,,,,,,PR,У,PR,У
17794,,нас,МЫ,SPRO pl 1p - loc,,,", чего у _нас_ не происходило уже",с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
17795,,не,НЕ,PART,,,чего у нас _не_ происходило уже давно,е,н,,,,,PART,НЕ,PART,Е
17796,,происходило,ПРОИСХОДИТЬ,V ipf praet sg indic n -,,,у нас не _происходило_ уже давно .,о,л,и,д,о,х,V,ПРОИСХОДИТЬ,V ipf praet sg indic n -,Ь
17797,,уже,УЖЕ,PART,,,нас не происходило _уже_ давно . ,е,ж,у,,,,ADV,УЖЕ,ADV -,Е
17798,,давно,ДАВНО,ADV -,,,не происходило уже _давно_ .  ,о,н,в,а,д,,ADV,ДАВНО,ADV -,О
17799,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17800,,,,,,,,,,,,,,,,,
17801,# sent = 1329,,,,,,,,,,,,,,,,
17802,,Последний,ПОСЛЕДНИЙ,A - nom sg plen m -,,,".   _Последний_ , кто-то что-то",й,и,н,д,е,л,A,ПОСЛЕДНИЙ,A - nom sg plen m -,Й
17803,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17804,,кто-то,КТО-ТО,SPRO m - nom sg,,," Последний , _кто-то_ что-то принципиально …",о,т,-,о,т,к,S,КТО-ТО,S m - nom sg,О
17805,,что-то,ЧТО-ТО,SPRO n inan acc sg,,,"Последний , кто-то _что-то_ принципиально … эээ",о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - acc sg,О
17806,,принципиально,ПРИНЦИПИАЛЬНО,ADV -,,,", кто-то что-то _принципиально_ … эээ …",о,н,ь,л,а,и,ADV,ПРИНЦИПИАЛЬНО,ADV -,О
17807,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17808,,эээ,ЭЭЭ,NONLEX,distort,,что-то принципиально … _эээ_ … новое писал,э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
17809,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17810,,новое,НОВЫЙ,A - nom sg plen n -,,,"… эээ … _новое_ писал , был",е,о,в,о,н,,A,НОВЫЙ,A - nom sg plen n -,Й
17811,,писал,ПИСАТЬ,V ipf praet sg indic m -,,,"эээ … новое _писал_ , был Прокофьев",л,а,с,и,п,,V,ПИСАТЬ,V ipf praet sg indic m -,Ь
17812,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17813,,был,БЫТЬ,V ipf praet sg indic m -,,,"новое писал , _был_ Прокофьев ? ",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
17814,,Прокофьев,ПРОКОФЬЕВ,S m anim nom sg,,,"писал , был _Прокофьев_ ?  ",в,е,ь,ф,о,к,S,ПРОКОФЬЕВ,S m anim nom sg,В
17815,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
17816,,,,,,,,,,,,,,,,,
17817,# sent = 1330,,,,,,,,,,,,,,,,
17818,,Если,ЕСЛИ,CONJ,,,?   _Если_ не ошибаюсь .,и,л,с,е,,,CONJ,ЕСЛИ,CONJ,И
17819,,не,НЕ,PART,,,  Если _не_ ошибаюсь . ,е,н,,,,,PART,НЕ,PART,Е
17820,,ошибаюсь,ОШИБАТЬСЯ,V ipf praes sg indic - 1p,,, Если не _ошибаюсь_ .  ,ь,с,ю,а,б,и,V,ОШИБАТЬСЯ,V ipf praes sg indic - 1p,Я
17821,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17822,,,,,,,,,,,,,,,,,
17823,# sent = 1331,,,,,,,,,,,,,,,,
17824,,И,И,CONJ,,,.   _И_ Свиридов . ,и,,,,,,CONJ,И,CONJ,И
17825,,Свиридов,СВИРИДОВ,S m anim nom sg,,,  И _Свиридов_ .  ,в,о,д,и,р,и,S,СВИРИДОВ,S m anim nom sg,В
17826,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17827,,,,,,,,,,,,,,,,,
17828,# sent = 1332,,,,,,,,,,,,,,,,
17829,,Вот,ВОТ,PART,,,.   _Вот_ эти вот ребята,т,о,в,,,,PART,ВОТ,PART,Т
17830,,эти,ЭТОТ,APRO - nom pl plen - -,,,  Вот _эти_ вот ребята .,и,т,э,,,,APRO,ЭТОТ,A - nom pl plen - -,Т
17831,,вот,ВОТ,PART,,, Вот эти _вот_ ребята . ,т,о,в,,,,PART,ВОТ,PART,Т
17832,,ребята,РЕБЯТА,S - anim nom pl,,,Вот эти вот _ребята_ .  ,а,т,я,б,е,р,S,РЕБЯТА,S - anim nom pl,А
17833,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17834,,,,,,,,,,,,,,,,,
17835,# sent = 1333,,,,,,,,,,,,,,,,
17836,,Это,ЭТО,SPRO n - nom sg,,,.   _Это_ последние классики вообще,о,т,э,,,,SPRO,ЭТОТ,A - acc sg plen n -,О
17837,,последние,ПОСЛЕДНИЙ,A - nom pl plen - -,,,  Это _последние_ классики вообще мировые,е,и,н,д,е,л,A,ПОСЛЕДНИЙ,A - nom pl plen - -,Й
17838,,классики,КЛАССИК,S m anim nom pl,,, Это последние _классики_ вообще мировые .,и,к,и,с,с,а,S,КЛАССИКА,S m anim nom pl,К
17839,,вообще,ВООБЩЕ,ADV -,,,Это последние классики _вообще_ мировые . ,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
17840,,мировые,МИРОВОЙ,A - nom pl plen - -,,,последние классики вообще _мировые_ .  ,е,ы,в,о,р,и,A,МИРОВОЙ,A - nom pl plen - -,Й
17841,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17842,,,,,,,,,,,,,,,,,
17843,# sent = 1334,,,,,,,,,,,,,,,,
17844,,Это,ЭТО,SPRO n - nom sg,,,.   _Это_ на них музыка,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
17845,,на,НА,PR,,,  Это _на_ них музыка остановилась,а,н,,,,,PR,НА,PR,А
17846,,них,ОНИ,SPRO pl - - loc,,, Это на _них_ музыка остановилась .,х,и,н,,,,SPRO,ОНИ,SPRO pl - - loc,И
17847,,музыка,МУЗЫКА,S f inan nom sg,,,Это на них _музыка_ остановилась . ,а,к,ы,з,у,м,S,МУЗЫКА,S f inan nom sg,А
17848,,остановилась,ОСТАНОВИТЬСЯ,V pf praet sg indic f -,,,на них музыка _остановилась_ .  ,ь,с,а,л,и,в,V,ОСТАНОВИТЬСЯ,V pf praet sg indic f -,Я
17849,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17850,,,,,,,,,,,,,,,,,
17851,# sent = 1335,,,,,,,,,,,,,,,,
17852,,И,И,CONJ,,,".   _И_ все , что",и,,,,,,CONJ,И,CONJ,И
17853,,все,ВСЕ,SPRO - - nom pl,,,"  И _все_ , что сейчас",е,с,в,,,,S,ВСЕ,S - - nom pl,Е
17854,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17855,,что,ЧТО,CONJ,,,"И все , _что_ сейчас , -",о,т,ч,,,,CONJ,ЧТО,CONJ,О
17856,,сейчас,СЕЙЧАС,ADV -,,,"все , что _сейчас_ , - это",с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
17857,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17858,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
17859,,это,ЭТО,SPRO n - nom sg,,,"сейчас , - _это_ что-то раздробленное ,",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
17860,,что-то,ЧТО-ТО,SPRO n inan nom sg,,,", - это _что-то_ раздробленное , такое",о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - nom sg,О
17861,,раздробленное,РАЗДРОБЛЕННЫЙ,A - acc sg plen n -,,,"- это что-то _раздробленное_ , такое …",е,о,н,н,е,л,A,РАЗДРОБЛЕННЫЙ,A - acc sg plen n -,Й
17862,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17863,,такое,ТАКОЙ,APRO - nom sg plen n -,,,"что-то раздробленное , _такое_ … ээээ …",е,о,к,а,т,,APRO,ТАКОЙ,A - nom sg plen n -,Й
17864,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17865,,ээээ,ЭЭЭЭ,NONLEX,distort,,", такое … _ээээ_ … непонятное что-то",э,э,э,э,,,NONLEX,ЭЭЭЭ,NONLEX,Э
17866,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17867,,непонятное,НЕПОНЯТНЫЙ,A - nom sg plen n -,,,… ээээ … _непонятное_ что-то каждый сам,е,о,н,т,я,н,A,НЕПОНЯТНЫЙ,A - nom sg plen n -,Й
17868,,что-то,ЧТО-ТО,SPRO n inan acc sg,,,ээээ … непонятное _что-то_ каждый сам делает,о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - acc sg,О
17869,,каждый,КАЖДЫЙ,APRO - nom sg plen m -,,,… непонятное что-то _каждый_ сам делает .,й,ы,д,ж,а,к,APRO,КАЖДЫЙ,A - nom sg plen m -,Й
17870,,сам,САМ,A - nom sg plen m -,,,непонятное что-то каждый _сам_ делает . ,м,а,с,,,,A,САМ,A - nom sg plen m -,М
17871,,делает,ДЕЛАТЬ,V ipf praes sg indic - 3p,,,что-то каждый сам _делает_ .  ,т,е,а,л,е,д,V,ДЕЛАТЬ,V ipf praes sg indic - 3p,Ь
17872,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17873,,,,,,,,,,,,,,,,,
17874,# sent = 1336,,,,,,,,,,,,,,,,
17875,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
17876,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17877,,,,,,,,,,,,,,,,,
17878,# sent = 1337,,,,,,,,,,,,,,,,
17879,,Это,ЭТО,SPRO n - nom sg,,,.   _Это_ люди - последние,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
17880,,люди,ЧЕЛОВЕК,S m anim nom pl,,,  Это _люди_ - последние люди,и,д,ю,л,,,S,ЧЕЛОВЕК,S m anim nom pl,К
17881,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
17882,,последние,ПОСЛЕДНИЙ,A - nom pl plen - -,,,"Это люди - _последние_ люди такие ,",е,и,н,д,е,л,A,ПОСЛЕДНИЙ,A - nom pl plen - -,Й
17883,,люди,ЧЕЛОВЕК,S m anim nom pl,,,"люди - последние _люди_ такие , мирового",и,д,ю,л,,,S,ЧЕЛОВЕК,S m anim nom pl,К
17884,,такие,ТАКОЙ,APRO - acc pl plen - inan,,,"- последние люди _такие_ , мирового масштаба",е,и,к,а,т,,APRO,ТАКОЙ,A - acc pl plen - inan,Й
17885,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17886,,мирового,МИРОВОЙ,A - gen sg plen m -,,,"люди такие , _мирового_ масштаба , которые",о,г,о,в,о,р,A,МИРОВОЙ,A - gen sg plen m -,Й
17887,,масштаба,МАСШТАБ,S m inan gen sg,,,"такие , мирового _масштаба_ , которые в",а,б,а,т,ш,с,S,МАСШТАБ,S m inan gen sg,Б
17888,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17889,,которые,КОТОРЫЙ,APRO - nom pl plen - -,,,"мирового масштаба , _которые_ в музыку что-то",е,ы,р,о,т,о,APRO,КОТОРЫЙ,A - nom pl plen - -,Й
17890,,в,В,PR,,,"масштаба , которые _в_ музыку что-то принципиально",в,,,,,,PR,В,PR,В
17891,,музыку,МУЗЫКА,S f inan acc sg,,,", которые в _музыку_ что-то принципиально новое",у,к,ы,з,у,м,S,МУЗЫКА,S f inan acc sg,А
17892,,что-то,ЧТО-ТО,SPRO n inan nom sg,,,которые в музыку _что-то_ принципиально новое привносили,о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - nom sg,О
17893,,принципиально,ПРИНЦИПИАЛЬНО,ADV -,,,"в музыку что-то _принципиально_ новое привносили ,",о,н,ь,л,а,и,ADV,ПРИНЦИПИАЛЬНО,ADV -,О
17894,,новое,НОВОЕ,S n inan acc sg,,,"музыку что-то принципиально _новое_ привносили , которые",е,о,в,о,н,,S,НОВОЕ,S n inan acc sg,Е
17895,,привносили,ПРИВНОСИТЬ,V ipf praet pl indic - -,,,"что-то принципиально новое _привносили_ , которые двигали",и,л,и,с,о,н,V,ПРИВНОСИТЬ,V ipf praet pl indic - -,Ь
17896,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17897,,которые,КОТОРЫЙ,APRO - nom pl plen - -,,,"новое привносили , _которые_ двигали . ",е,ы,р,о,т,о,APRO,КОТОРЫЙ,A - nom pl plen - -,Й
17898,,двигали,ДВИГАТЬ,V ipf praet pl indic - -,,,"привносили , которые _двигали_ .  ",и,л,а,г,и,в,V,ДВИГАТЬ,V ipf praet pl indic - -,Ь
17899,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17900,,,,,,,,,,,,,,,,,
17901,# sent = 1338,,,,,,,,,,,,,,,,
17902,,Вот,ВОТ,PART,,,".   _Вот_ , очень ,",т,о,в,,,,PART,ВОТ,PART,Т
17903,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17904,,очень,ОЧЕНЬ,ADV -,,," Вот , _очень_ , конечно ,",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
17905,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17906,,конечно,КОНЕЧНО,PARENTH,,,", очень , _конечно_ , приятно то",о,н,ч,е,н,о,ADV,КОНЕЧНО,ADV -,О
17907,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17908,,приятно,ПРИЯТНО,ADV -,,,", конечно , _приятно_ то , ",о,н,т,я,и,р,ADV,ПРИЯТНО,ADV -,О
17909,,то,ТО,SPRO n - nom sg,,,"конечно , приятно _то_ ,  шо",о,т,,,,,SPRO,ТО,CONJ,О
17910,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17911,"<distinct form=""",,,,,,,,,,,,,,,,
17912,<dist>,шо,ЧТО,,,,,,,,,,,,,,
17913,""">",,,,,,,,,,,,,,,,
17914,,что,ЧТО,CONJ,,, шо  _что_  они жили,о,т,ч,,,,CONJ,ЧТО,CONJ,О
17915,</distinct>,,,,,,,,,,,,,,,,
17916,,они,ОНИ,SPRO pl - - nom,,, что  _они_ жили в России,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
17917,,жили,ЖИТЬ,V ipf praet pl indic - -,,,что  они _жили_ в России .,и,л,и,ж,,,V,ЖИТЬ,V ipf praet pl indic - -,Ь
17918,,в,В,PR,,, они жили _в_ России . ,в,,,,,,PR,В,PR,В
17919,,России,РОССИЯ,S f inan loc sg,,,они жили в _России_ .  ,и,и,с,с,о,р,S,РОССИЯ,S f inan loc sg,Я
17920,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17921,,,,,,,,,,,,,,,,,
17922,# sent = 1339,,,,,,,,,,,,,,,,
17923,,Вот,ВОТ,PART,,,".   _Вот_ , и последние",т,о,в,,,,PART,ВОТ,PART,Т
17924,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17925,,и,И,CONJ,,," Вот , _и_ последние такие …",и,,,,,,CONJ,И,CONJ,И
17926,,последние,ПОСЛЕДНИЙ,A - acc pl plen - inan,,,"Вот , и _последние_ такие … эээ",е,и,н,д,е,л,A,ПОСЛЕДНИЙ,A - acc pl plen - inan,Й
17927,,такие,ТАКОЙ,APRO - acc pl plen - inan,,,", и последние _такие_ … эээ …",е,и,к,а,т,,APRO,ТАКОЙ,A - acc pl plen - inan,Й
17928,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17929,,эээ,ЭЭЭ,NONLEX,distort,,последние такие … _эээ_ … последние принципиально,э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
17930,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17931,,последние,ПОСЛЕДНИЙ,A - acc pl plen - inan,,,… эээ … _последние_ принципиально новые какие-то,е,и,н,д,е,л,A,ПОСЛЕДНИЙ,A - acc pl plen - inan,Й
17932,,принципиально,ПРИНЦИПИАЛЬНО,ADV -,,,эээ … последние _принципиально_ новые какие-то движения,о,н,ь,л,а,и,ADV,ПРИНЦИПИАЛЬНО,ADV -,О
17933,,новые,НОВЫЙ,A - nom pl plen - -,,,… последние принципиально _новые_ какие-то движения музыкальные,е,ы,в,о,н,,A,НОВЫЙ,A - nom pl plen - -,Й
17934,,какие-то,КАКОЙ-ТО,APRO - nom pl plen,,,последние принципиально новые _какие-то_ движения музыкальные …,о,т,-,е,и,к,APRO,КАКОЙ-ТО,A - nom pl plen - -,О
17935,,движения,ДВИЖЕНИЕ,S n inan nom pl,,,принципиально новые какие-то _движения_ музыкальные … эээ,я,и,н,е,ж,и,S,ДВИЖЕНИЕ,S n inan nom pl,Е
17936,,музыкальные,МУЗЫКАЛЬНЫЙ,A - nom pl plen - -,,,новые какие-то движения _музыкальные_ … эээ …,е,ы,н,ь,л,а,A,МУЗЫКАЛЬНЫЙ,A - nom pl plen - -,Й
17937,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17938,,эээ,ЭЭЭ,NONLEX,distort,,движения музыкальные … _эээ_ … были в,э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
17939,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17940,,были,БЫТЬ,V ipf praet pl indic - -,,,… эээ … _были_ в России .,и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
17941,,в,В,PR,,,эээ … были _в_ России . ,в,,,,,,PR,В,PR,В
17942,,России,РОССИЯ,S f inan loc sg,,,… были в _России_ .  ,и,и,с,с,о,р,S,РОССИЯ,S f inan loc sg,Я
17943,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17944,,,,,,,,,,,,,,,,,
17945,# sent = 1340,,,,,,,,,,,,,,,,
17946,,Это,ЭТО,SPRO n - nom sg,,,.   _Это_ все происходило в,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
17947,,все,ВСЕ,SPRO n - nom sg,,,  Это _все_ происходило в начале,е,с,в,,,,S,ВСЕ,S n - nom sg,Е
17948,,происходило,ПРОИСХОДИТЬ,V ipf praet sg indic n -,,, Это все _происходило_ в начале ХХ,о,л,и,д,о,х,V,ПРОИСХОДИТЬ,V ipf praet sg indic n -,Ь
17949,,в,В,PR,,,Это все происходило _в_ начале ХХ века,в,,,,,,PR,В,PR,В
17950,,начале,НАЧАЛО,S n inan loc sg,,,все происходило в _начале_ ХХ века и,е,л,а,ч,а,н,S,НАЧАЛО,S n inan loc sg,О
17951,,ХХ,ХХ,ANUM ciph,,,происходило в начале _ХХ_ века и до,х,х,,,,,NONLEX,ХХ,NONLEX,Х
17952,,века,ВЕК,S m inan gen sg,,,в начале ХХ _века_ и до середины,а,к,е,в,,,S,ВЕК,S m inan gen sg,К
17953,,и,И,CONJ,,,начале ХХ века _и_ до середины ХХ,и,,,,,,CONJ,И,CONJ,И
17954,,до,ДО,PR,,,ХХ века и _до_ середины ХХ века,о,д,,,,,PR,ДО,PR,О
17955,,середины,СЕРЕДИНА,S f inan gen sg,,,века и до _середины_ ХХ века .,ы,н,и,д,е,р,S,СЕРЕДИНА,S f inan gen sg,А
17956,,ХХ,ХХ,ANUM ciph,,,и до середины _ХХ_ века . ,х,х,,,,,NONLEX,ХХ,NONLEX,Х
17957,,века,ВЕК,S m inan gen sg,,,до середины ХХ _века_ .  ,а,к,е,в,,,S,ВЕК,S m inan gen sg,К
17958,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17959,,,,,,,,,,,,,,,,,
17960,# sent = 1341,,,,,,,,,,,,,,,,
17961,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
17962,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17963,,,,,,,,,,,,,,,,,
17964,# sent = 1342,,,,,,,,,,,,,,,,
17965,,Аааа,АААА,INTJ,distort,,.   _Аааа_ … сейчас все,а,а,а,а,,,INTJ,АААА,S m inan nonflex -,А
17966,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
17967,,сейчас,СЕЙЧАС,ADV -,,, Аааа … _сейчас_ все раздроблено .,с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
17968,,все,ВСЕ,SPRO - - nom pl,,,Аааа … сейчас _все_ раздроблено . ,е,с,в,,,,S,ВСЕ,S - - nom pl,Е
17969,,раздроблено,РАЗДРОБИТЬ,PARTCP pf praet - sg brev n pass -,,,… сейчас все _раздроблено_ .  ,о,н,е,л,б,о,PARTCP,РАЗДРОБИТЬ,PARTCP pf praet - sg brev n pass -,Ь
17970,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17971,,,,,,,,,,,,,,,,,
17972,# sent = 1343,,,,,,,,,,,,,,,,
17973,,В,В,PR,,,.   _В_ основном неизвестные музыканты,в,,,,,,PR,В,PR,В
17974,,основном,ОСНОВНОЙ,A - loc sg plen n -,,,"  В _основном_ неизвестные музыканты ,",м,о,н,в,о,н,A,ОСНОВНОЙ,A - loc sg plen n -,Й
17975,,неизвестные,НЕИЗВЕСТНЫЙ,A - nom pl plen - -,,," В основном _неизвестные_ музыканты , те",е,ы,н,т,с,е,A,НЕИЗВЕСТНЫЙ,A - nom pl plen - -,Й
17976,,музыканты,МУЗЫКАНТ,S m anim nom pl,,,"В основном неизвестные _музыканты_ , те ,",ы,т,н,а,к,ы,S,МУЗЫКАНТ,S m anim nom pl,Т
17977,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17978,,те,ТОТ,A - nom pl plen - -,,,"неизвестные музыканты , _те_ , кто не",е,т,,,,,A,ТОТ,A - nom pl plen - -,Т
17979,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17980,,кто,КТО,SPRO m anim nom sg,,,", те , _кто_ не имеют музыкального",о,т,к,,,,S,КТО,S m anim nom sg,О
17981,,не,НЕ,PART,,,"те , кто _не_ имеют музыкального образования",е,н,,,,,PART,НЕ,PART,Е
17982,,имеют,ИМЕТЬ,V ipf praes pl indic - 3p,,,", кто не _имеют_ музыкального образования ,",т,ю,е,м,и,,V,ИМЕТЬ,V ipf praes pl indic - 3p,Ь
17983,,музыкального,МУЗЫКАЛЬНЫЙ,A - gen sg plen n -,,,"кто не имеют _музыкального_ образования , как",о,г,о,н,ь,л,A,МУЗЫКАЛЬНЫЙ,A - gen sg plen n -,Й
17984,,образования,ОБРАЗОВАНИЕ,S n inan gen sg,,,"не имеют музыкального _образования_ , как правило",я,и,н,а,в,о,S,ОБРАЗОВАНИЕ,S n inan gen sg,Е
17985,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17986,,как,КАК,PARENTH,,,"музыкального образования , _как_ правило , это",к,а,к,,,,CONJ,КАК,CONJ,К
17987,,правило,ПРАВИЛО,PARENTH,,,"образования , как _правило_ , это в",о,л,и,в,а,р,S,ПРАВИЛО,S n inan nom sg,О
17988,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
17989,,это,ЭТО,SPRO n - nom sg,,,"как правило , _это_ в девяноста процентах",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
17990,,в,В,PR,,,"правило , это _в_ девяноста процентах они",в,,,,,,PR,В,PR,В
17991,,девяноста,ДЕВЯНОСТО,NUM loc - -,,,", это в _девяноста_ процентах они не",а,т,с,о,н,я,NUM,ДЕВЯНОСТО,NUM loc - -,О
17992,,процентах,ПРОЦЕНТ,S m inan loc pl,,,это в девяноста _процентах_ они не имеют,х,а,т,н,е,ц,S,ПРОЦЕНТ,S m inan loc pl,Т
17993,,они,ОНИ,SPRO pl - - nom,,,в девяноста процентах _они_ не имеют музыкального,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
17994,,не,НЕ,PART,,,девяноста процентах они _не_ имеют музыкального образования,е,н,,,,,PART,НЕ,PART,Е
17995,,имеют,ИМЕТЬ,V ipf praes pl indic - 3p,,,процентах они не _имеют_ музыкального образования .,т,ю,е,м,и,,V,ИМЕТЬ,V ipf praes pl indic - 3p,Ь
17996,,музыкального,МУЗЫКАЛЬНЫЙ,A - gen sg plen n -,,,они не имеют _музыкального_ образования . ,о,г,о,н,ь,л,A,МУЗЫКАЛЬНЫЙ,A - gen sg plen n -,Й
17997,,образования,ОБРАЗОВАНИЕ,S n inan gen sg,,,не имеют музыкального _образования_ .  ,я,и,н,а,в,о,S,ОБРАЗОВАНИЕ,S n inan gen sg,Е
17998,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
17999,,,,,,,,,,,,,,,,,
18000,# sent = 1344,,,,,,,,,,,,,,,,
18001,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
18002,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18003,,,,,,,,,,,,,,,,,
18004,# sent = 1345,,,,,,,,,,,,,,,,
18005,,В,В,PR,,,.   _В_ лучшем случае им,в,,,,,,PR,В,PR,В
18006,,лучшем,ЛУЧШИЙ,A supr loc sg plen m -,,,  В _лучшем_ случае им пишут,м,е,ш,ч,у,л,A,ЛУЧШИЙ,A supr loc sg plen m -,Й
18007,,случае,СЛУЧАЙ,S m inan loc sg,,, В лучшем _случае_ им пишут музыку,е,а,ч,у,л,с,S,СЛУЧАЙ,S m inan loc sg,Й
18008,,им,ОНИ,SPRO pl - - dat,,,В лучшем случае _им_ пишут музыку люди,м,и,,,,,SPRO,ОНИ,SPRO pl - - dat,И
18009,,пишут,ПИСАТЬ,V ipf praes pl indic - 3p,,,"лучшем случае им _пишут_ музыку люди ,",т,у,ш,и,п,,V,ПИСАТЬ,V ipf praes pl indic - 3p,Ь
18010,,музыку,МУЗЫКА,S f inan acc sg,,,"случае им пишут _музыку_ люди , которые",у,к,ы,з,у,м,S,МУЗЫКА,S f inan acc sg,А
18011,,люди,ЧЕЛОВЕК,S m anim nom pl,,,"им пишут музыку _люди_ , которые имеют",и,д,ю,л,,,S,ЧЕЛОВЕК,S m anim nom pl,К
18012,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18013,,которые,КОТОРЫЙ,APRO - nom pl plen - -,,,"музыку люди , _которые_ имеют музыкальное образование",е,ы,р,о,т,о,APRO,КОТОРЫЙ,A - nom pl plen - -,Й
18014,,имеют,ИМЕТЬ,V ipf praes pl indic - 3p,,,"люди , которые _имеют_ музыкальное образование .",т,ю,е,м,и,,V,ИМЕТЬ,V ipf praes pl indic - 3p,Ь
18015,,музыкальное,МУЗЫКАЛЬНЫЙ,A - acc sg plen n inan,,,", которые имеют _музыкальное_ образование . ",е,о,н,ь,л,а,A,МУЗЫКАЛЬНЫЙ,A - acc sg plen n inan,Й
18016,,образование,ОБРАЗОВАНИЕ,S n inan acc sg,,,которые имеют музыкальное _образование_ .  ,е,и,н,а,в,о,S,ОБРАЗОВАНИЕ,S n inan acc sg,Е
18017,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18018,,,,,,,,,,,,,,,,,
18019,# sent = 1346,,,,,,,,,,,,,,,,
18020,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
18021,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
